server time,value,UM,board time,latitude,longitude
2022-06-29 10:18:33.850,0,,2022-06-29 10:18:33.783,,
2022-06-29 10:19:35.840,0,,2022-06-29 10:19:35.767,,
2022-06-29 10:20:37.603,0,,2022-06-29 10:20:37.537,,
2022-06-29 10:21:39.353,0,,2022-06-29 10:21:39.287,,
2022-06-29 10:22:41.410,0,,2022-06-29 10:22:40.973,,
2022-06-29 10:23:43.127,0,,2022-06-29 10:23:43.063,,
2022-06-29 10:24:45.470,0,,2022-06-29 10:24:44.987,,
2022-06-29 10:25:46.977,0,,2022-06-29 10:25:46.910,,
2022-06-29 10:26:48.740,0,,2022-06-29 10:26:48.647,,
2022-06-29 10:27:50.617,0,,2022-06-29 10:27:50.553,,
2022-06-29 10:28:53.427,0,,2022-06-29 10:28:52.977,,
2022-06-29 10:29:55.200,0,,2022-06-29 10:29:55.143,,
2022-06-29 10:30:57.567,0,,2022-06-29 10:30:56.987,,
2022-06-29 10:31:59.647,0,,2022-06-29 10:31:59.597,,
2022-06-29 10:33:01.357,0,,2022-06-29 10:33:01.287,,
2022-06-29 10:34:03.203,0,,2022-06-29 10:34:03.143,,
2022-06-29 10:35:05.170,0,,2022-06-29 10:35:05.083,,
2022-06-29 10:36:07.210,0,,2022-06-29 10:36:06.973,,
2022-06-29 10:37:08.747,0,,2022-06-29 10:37:08.710,,
2022-06-29 10:38:10.713,0,,2022-06-29 10:38:10.630,,
2022-06-29 10:39:12.600,0,,2022-06-29 10:39:12.537,,
2022-06-29 10:40:15.523,0,,2022-06-29 10:40:15.457,,
2022-06-29 10:41:17.273,0,,2022-06-29 10:41:17.197,,
2022-06-29 10:42:19.257,0,,2022-06-29 10:42:19.177,,
2022-06-29 10:43:21.237,0,,2022-06-29 10:43:21.170,,
2022-06-29 10:44:23.937,0,,2022-06-29 10:44:23.873,,
2022-06-29 10:45:25.660,0,,2022-06-29 10:45:25.593,,
2022-06-29 10:46:27.533,0,,2022-06-29 10:46:27.467,,
