server time,value,UM,board time,latitude,longitude
2022-06-29 10:18:33.850,69,,2022-06-29 10:18:33.783,,
2022-06-29 10:19:35.840,88,,2022-06-29 10:19:35.767,,
2022-06-29 10:20:37.603,105,,2022-06-29 10:20:37.537,,
2022-06-29 10:21:39.353,118,,2022-06-29 10:21:39.287,,
2022-06-29 10:22:41.410,130,,2022-06-29 10:22:40.973,,
2022-06-29 10:23:43.127,142,,2022-06-29 10:23:43.063,,
2022-06-29 10:24:45.470,152,,2022-06-29 10:24:44.987,,
2022-06-29 10:25:46.977,162,,2022-06-29 10:25:46.910,,
2022-06-29 10:26:48.740,172,,2022-06-29 10:26:48.647,,
2022-06-29 10:27:50.617,180,,2022-06-29 10:27:50.553,,
2022-06-29 10:28:53.427,188,,2022-06-29 10:28:52.977,,
2022-06-29 10:29:55.200,193,,2022-06-29 10:29:55.143,,
2022-06-29 10:30:57.567,197,,2022-06-29 10:30:56.987,,
2022-06-29 10:31:59.647,200,,2022-06-29 10:31:59.597,,
2022-06-29 10:33:01.357,200,,2022-06-29 10:33:01.287,,
2022-06-29 10:34:03.203,201,,2022-06-29 10:34:03.143,,
2022-06-29 10:35:05.170,201,,2022-06-29 10:35:05.083,,
2022-06-29 10:36:07.210,201,,2022-06-29 10:36:06.973,,
2022-06-29 10:37:08.747,200,,2022-06-29 10:37:08.710,,
2022-06-29 10:38:10.713,201,,2022-06-29 10:38:10.630,,
2022-06-29 10:39:12.600,200,,2022-06-29 10:39:12.537,,
2022-06-29 10:40:15.523,200,,2022-06-29 10:40:15.457,,
2022-06-29 10:41:17.273,194,,2022-06-29 10:41:17.197,,
2022-06-29 10:42:19.257,178,,2022-06-29 10:42:19.177,,
2022-06-29 10:43:21.237,166,,2022-06-29 10:43:21.170,,
2022-06-29 10:44:23.937,157,,2022-06-29 10:44:23.873,,
2022-06-29 10:45:25.660,151,,2022-06-29 10:45:25.593,,
2022-06-29 10:46:27.533,145,,2022-06-29 10:46:27.467,,
2022-06-29 10:47:29.317,140,,2022-06-29 10:47:29.250,,
2022-06-29 10:48:31.207,136,,2022-06-29 10:48:31.143,,
2022-06-29 10:49:32.943,132,,2022-06-29 10:49:32.877,,
2022-06-29 10:50:35.497,129,,2022-06-29 10:50:34.983,,
2022-06-29 10:51:36.910,125,,2022-06-29 10:51:36.843,,
2022-06-29 10:52:38.627,122,,2022-06-29 10:52:38.563,,
2022-06-29 10:53:40.310,119,,2022-06-29 10:53:40.250,,
2022-06-29 10:54:42.917,116,,2022-06-29 10:54:42.030,,
2022-06-29 10:55:43.817,114,,2022-06-29 10:55:43.750,,
2022-06-29 10:56:45.707,111,,2022-06-29 10:56:45.627,,
2022-06-29 10:57:47.537,109,,2022-06-29 10:57:47.477,,
2022-06-29 10:58:49.307,107,,2022-06-29 10:58:49.243,,
2022-06-29 10:59:51.110,105,,2022-06-29 10:59:51.037,,
2022-06-29 11:00:52.997,103,,2022-06-29 11:00:52.947,,
2022-06-29 11:01:54.987,101,,2022-06-29 11:01:54.917,,
2022-06-29 11:02:57.823,100,,2022-06-29 11:02:57.587,,
2022-06-29 11:04:01.790,98,,2022-06-29 11:04:01.727,,
