TIME_STAMP,BEARING_TEMP,BEARING_TEMP1,BEARING_TEMP2,BEARING_TEMP3,COOLER_STATUS,CURRENT,DEFL_PRESENT,FAN_ROTATION,LOCKED_TOOL,NAME,ROTATION_SPEED,ROTATION_SPEED_FS,S5_INPUT,SERIAL_NUMBER,STATOR_TEMP,STATOR_TEMP1,STATOR_TEMP2,TOOL,UNLOCKED_TOOL,OVERRIDE_AX,OVERRIDE_INV,STATUS,ASSI_MOT,ESEC_PGM,HOMING,HOMING_DONE,MACC_EME,MACC_ON,POWERED,SETUP,TOOL_CHANGE,WAIT_AC,WAIT_MC
2022-07-15 10:21:03.639166,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,24.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 10:22:23.891040,24.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,24.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 10:22:28.125527,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,24.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 10:23:02.877683,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,25.0,100.0,125.0,NONE,0,100,100,10000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 10:31:09.783785,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,25.0,100.0,125.0,NONE,0,100,100,1000,0,0,0,1,1,1,0,0,0,0,0
2022-07-15 10:31:12.065026,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,1,2022007264,25.0,100.0,125.0,NONE,0,100,100,1000,0,0,0,1,0,1,1,0,0,0,0
2022-07-15 10:31:26.440445,25.0,15.0,60.0,65.0,1,0.0,0,0,0,TP1,0.0,18000.0,0,2022007264,25.0,100.0,125.0,NONE,1,100,100,1000,1,0,0,1,0,1,1,0,1,0,0
2022-07-15 10:31:30.658897,25.0,15.0,60.0,65.0,1,0.0,0,0,1,TP1,0.0,18000.0,1,2022007264,25.0,100.0,125.0,FRESA20B,0,100,100,1000,0,0,0,1,0,1,1,0,1,0,0
2022-07-15 10:31:32.862071,25.0,15.0,60.0,65.0,1,0.0,0,0,1,TP1,0.0,18000.0,1,2022007264,25.0,100.0,125.0,FRESA20B,0,100,100,1000,1,0,0,1,0,1,1,0,1,0,0
2022-07-15 10:31:35.380217,25.0,15.0,60.0,65.0,1,0.0,0,0,1,TP1,0.0,18000.0,1,2022007264,25.0,100.0,125.0,FRESA20B,0,100,100,1000,0,0,0,1,0,1,1,0,0,0,0
